season,place,team,points,played,won,draw,loss,goals,goals_taken,goals_diff,aproveitamento,media_gols_marcados,media_gols_sofridos
2003,1,Cruzeiro,100,46,31,7,8,102,47,55,217.39130434782606,1.0217391304347827,1.1956521739130435
2003,2,Santos,87,46,25,12,9,93,60,33,189.1304347826087,1.3043478260869565,0.717391304347826
2003,3,São Paulo,78,46,22,12,12,81,67,14,169.56521739130434,1.4565217391304348,0.30434782608695654
2003,4,São Caetano,74,46,19,14,13,53,37,16,160.8695652173913,0.8043478260869565,0.34782608695652173
2003,5,Coritiba,73,46,21,10,15,67,58,9,158.69565217391303,1.2608695652173914,0.1956521739130435
2003,6,Atlético Mineiro,72,46,19,15,12,76,62,14,156.52173913043478,1.3478260869565217,0.30434782608695654
2003,7,Internacional,72,46,20,10,16,59,57,2,156.52173913043478,1.2391304347826086,0.043478260869565216
2003,8,Flamengo,66,46,18,12,16,66,73,-7,143.47826086956522,1.5869565217391304,-0.15217391304347827
2003,9,Goiás,65,46,18,11,17,78,63,15,141.30434782608697,1.3695652173913044,0.32608695652173914
2003,10,Paraná,65,46,18,11,17,85,75,10,141.30434782608697,1.6304347826086956,0.21739130434782608
2003,11,Figueirense,65,46,17,14,15,62,54,8,141.30434782608697,1.173913043478261,0.17391304347826086
2003,12,Athletico Paranaense,61,46,17,10,19,67,72,-5,132.6086956521739,1.565217391304348,-0.10869565217391304
2003,13,Guarani,61,46,17,10,19,64,72,-8,132.6086956521739,1.565217391304348,-0.17391304347826086
2003,14,Criciúma,60,46,17,9,20,57,69,-12,130.43478260869566,1.5,-0.2608695652173913
2003,15,Corinthians,59,46,15,12,19,61,63,-2,128.26086956521738,1.3695652173913044,-0.043478260869565216
2003,16,Vitória,56,46,15,11,20,50,64,-14,121.73913043478262,1.391304347826087,-0.30434782608695654
2003,17,Vasco,54,46,13,15,18,57,69,-12,117.3913043478261,1.5,-0.2608695652173913
2003,18,Juventude,53,46,12,14,20,55,70,-15,115.21739130434783,1.5217391304347827,-0.32608695652173914
2003,19,Fluminense,52,46,13,11,22,52,77,-25,113.04347826086956,1.673913043478261,-0.5434782608695652
2003,20,Ponte Preta,50,46,11,18,17,63,73,-10,108.69565217391303,1.5869565217391304,-0.21739130434782608
2003,21,Grêmio,50,46,13,11,22,54,68,-14,108.69565217391303,1.4782608695652173,-0.30434782608695654
2003,22,Paysandu,49,46,15,12,19,74,77,-3,106.5217391304348,1.673913043478261,-0.06521739130434782
2003,23,Fortaleza,49,46,12,13,21,58,74,-16,106.5217391304348,1.608695652173913,-0.34782608695652173
2003,24,Bahia,46,46,12,10,24,59,92,-33,100.0,2.0,-0.717391304347826
2004,1,Santos,89,46,27,8,11,103,58,45,193.47826086956522,1.2608695652173914,0.9782608695652174
2004,2,Athletico Paranaense,86,46,25,11,10,93,56,37,186.95652173913044,1.2173913043478262,0.8043478260869565
2004,3,São Paulo,82,46,24,10,12,78,43,35,178.26086956521738,0.9347826086956522,0.7608695652173914
2004,4,Palmeiras,79,46,22,13,11,72,47,25,171.73913043478262,1.0217391304347827,0.5434782608695652
2004,5,Corinthians,74,46,20,14,12,54,54,0,160.8695652173913,1.173913043478261,0.0
2004,6,Goiás,72,46,21,9,16,81,68,13,156.52173913043478,1.4782608695652173,0.2826086956521739
2004,7,Juventude,70,46,20,10,16,60,66,-6,152.17391304347828,1.434782608695652,-0.13043478260869565
2004,8,Internacional,67,46,20,7,19,66,59,7,145.65217391304347,1.2826086956521738,0.15217391304347827
2004,9,Fluminense,67,46,18,13,15,65,68,-3,145.65217391304347,1.4782608695652173,-0.06521739130434782
2004,10,Ponte Preta,64,46,19,7,20,43,73,-30,139.1304347826087,1.5869565217391304,-0.6521739130434783
2004,11,Figueirense,63,46,17,12,17,57,59,-2,136.95652173913044,1.2826086956521738,-0.043478260869565216
2004,12,Coritiba,62,46,15,17,14,53,48,5,134.7826086956522,1.0434782608695652,0.10869565217391304
2004,13,Cruzeiro,56,46,16,8,22,69,81,-12,121.73913043478262,1.7608695652173914,-0.2608695652173913
2004,14,Paysandu,56,46,14,14,18,56,76,-20,121.73913043478262,1.6521739130434783,-0.43478260869565216
2004,15,Paraná,54,46,15,9,22,52,73,-21,117.3913043478261,1.5869565217391304,-0.45652173913043476
2004,16,Vasco,54,46,14,12,20,64,68,-4,117.3913043478261,1.4782608695652173,-0.08695652173913043
2004,17,Flamengo,54,46,13,15,18,51,53,-2,117.3913043478261,1.1521739130434783,-0.043478260869565216
2004,18,São Caetano,53,46,23,8,15,65,49,16,115.21739130434783,1.065217391304348,0.34782608695652173
2004,19,Atlético Mineiro,53,46,12,17,17,60,66,-6,115.21739130434783,1.434782608695652,-0.13043478260869565
2004,20,Botafogo,51,46,11,18,17,62,71,-9,110.86956521739131,1.5434782608695652,-0.1956521739130435
2004,21,Criciúma,50,46,13,11,22,61,78,-17,108.69565217391303,1.6956521739130435,-0.3695652173913043
2004,22,Guarani,49,46,11,16,19,43,55,-12,106.5217391304348,1.1956521739130435,-0.2608695652173913
2004,23,Vitória,48,46,13,9,24,68,87,-19,104.34782608695652,1.891304347826087,-0.41304347826086957
2004,24,Grêmio,39,46,9,12,25,60,80,-20,84.78260869565217,1.7391304347826086,-0.43478260869565216
2005,1,Corinthians,81,42,24,9,9,87,59,28,192.85714285714286,1.4047619047619047,0.6666666666666666
2005,2,Internacional,78,42,23,9,10,72,49,23,185.71428571428572,1.1666666666666667,0.5476190476190477
2005,3,Goiás,74,42,22,8,12,68,51,17,176.19047619047618,1.2142857142857142,0.40476190476190477
2005,4,Palmeiras,70,42,20,10,12,81,65,16,166.66666666666669,1.5476190476190477,0.38095238095238093
2005,5,Fluminense,68,42,19,11,12,79,70,9,161.9047619047619,1.6666666666666667,0.21428571428571427
2005,6,Athletico Paranaense,61,42,18,7,17,76,67,9,145.23809523809524,1.5952380952380953,0.21428571428571427
2005,7,Paraná,61,42,17,10,15,59,51,8,145.23809523809524,1.2142857142857142,0.19047619047619047
2005,8,Cruzeiro,60,42,17,9,16,73,72,1,142.85714285714286,1.7142857142857142,0.023809523809523808
2005,9,Botafogo,59,42,17,8,17,57,56,1,140.47619047619045,1.3333333333333333,0.023809523809523808
2005,10,Santos,59,42,16,11,15,68,71,-3,140.47619047619045,1.6904761904761905,-0.07142857142857142
2005,11,São Paulo,58,42,16,10,16,77,67,10,138.0952380952381,1.5952380952380953,0.23809523809523808
2005,12,Vasco,56,42,15,11,16,74,84,-10,133.33333333333331,2.0,-0.23809523809523808
2005,13,Fortaleza,55,42,16,7,19,58,64,-6,130.95238095238096,1.5238095238095237,-0.14285714285714285
2005,14,Juventude,55,42,15,10,17,66,72,-6,130.95238095238096,1.7142857142857142,-0.14285714285714285
2005,15,Flamengo,55,42,14,13,15,56,60,-4,130.95238095238096,1.4285714285714286,-0.09523809523809523
2005,16,Figueirense,53,42,14,11,17,65,72,-7,126.19047619047619,1.7142857142857142,-0.16666666666666666
2005,17,São Caetano,52,42,14,10,18,54,60,-6,123.80952380952381,1.4285714285714286,-0.14285714285714285
2005,18,Ponte Preta,51,42,15,6,21,63,80,-17,121.42857142857142,1.9047619047619047,-0.40476190476190477
2005,19,Coritiba,49,42,13,10,19,51,60,-9,116.66666666666667,1.4285714285714286,-0.21428571428571427
2005,20,Atlético Mineiro,47,42,13,8,21,54,59,-5,111.90476190476191,1.4047619047619047,-0.11904761904761904
2005,21,Paysandu,41,42,12,5,25,63,92,-29,97.61904761904762,2.1904761904761907,-0.6904761904761905
2005,22,Brasiliense,41,42,10,11,21,47,67,-20,97.61904761904762,1.5952380952380953,-0.47619047619047616
2006,1,São Paulo,78,38,22,12,4,66,32,34,205.26315789473685,0.8421052631578947,0.8947368421052632
2006,2,Internacional,69,38,20,9,9,52,36,16,181.57894736842107,0.9473684210526315,0.42105263157894735
2006,3,Grêmio,67,38,20,7,11,64,45,19,176.3157894736842,1.1842105263157894,0.5
2006,4,Santos,64,38,18,10,10,58,36,22,168.42105263157893,0.9473684210526315,0.5789473684210527
2006,5,Paraná,60,38,18,6,14,56,49,7,157.89473684210526,1.2894736842105263,0.18421052631578946
2006,6,Vasco,59,38,15,14,9,57,50,7,155.26315789473685,1.3157894736842106,0.18421052631578946
2006,7,Figueirense,57,38,15,12,11,52,44,8,150.0,1.1578947368421053,0.21052631578947367
2006,8,Goiás,55,38,15,10,13,63,49,14,144.73684210526315,1.2894736842105263,0.3684210526315789
2006,9,Corinthians,53,38,15,8,15,41,46,-5,139.4736842105263,1.2105263157894737,-0.13157894736842105
2006,10,Cruzeiro,53,38,14,11,13,52,45,7,139.4736842105263,1.1842105263157894,0.18421052631578946
2006,11,Flamengo,52,38,15,7,16,44,48,-4,136.8421052631579,1.263157894736842,-0.10526315789473684
2006,12,Botafogo,51,38,13,12,13,52,50,2,134.21052631578948,1.3157894736842106,0.05263157894736842
2006,13,Athletico Paranaense,48,38,13,9,16,61,62,-1,126.3157894736842,1.631578947368421,-0.02631578947368421
2006,14,Juventude,47,38,13,8,17,44,54,-10,123.6842105263158,1.4210526315789473,-0.2631578947368421
2006,15,Fluminense,45,38,11,12,15,48,58,-10,118.42105263157893,1.5263157894736843,-0.2631578947368421
2006,16,Palmeiras,44,38,12,8,18,58,70,-12,115.78947368421053,1.8421052631578947,-0.3157894736842105
2006,17,Ponte Preta,39,38,10,9,19,45,65,-20,102.63157894736842,1.7105263157894737,-0.5263157894736842
2006,18,Fortaleza,38,38,8,14,16,39,62,-23,100.0,1.631578947368421,-0.6052631578947368
2006,19,São Caetano,36,38,9,9,20,37,53,-16,94.73684210526315,1.394736842105263,-0.42105263157894735
2006,20,Santa Cruz,28,38,7,7,24,41,76,-35,73.68421052631578,2.0,-0.9210526315789473
2007,1,São Paulo,77,38,23,8,7,55,19,36,202.6315789473684,0.5,0.9473684210526315
2007,2,Santos,62,38,19,5,14,57,47,10,163.1578947368421,1.236842105263158,0.2631578947368421
2007,3,Flamengo,61,38,17,10,11,55,49,6,160.5263157894737,1.2894736842105263,0.15789473684210525
2007,4,Fluminense,61,38,16,13,9,57,39,18,160.5263157894737,1.0263157894736843,0.47368421052631576
2007,5,Cruzeiro,60,38,18,6,14,73,58,15,157.89473684210526,1.5263157894736843,0.39473684210526316
2007,6,Grêmio,58,38,17,7,14,44,43,1,152.63157894736844,1.131578947368421,0.02631578947368421
2007,7,Palmeiras,58,38,16,10,12,48,47,1,152.63157894736844,1.236842105263158,0.02631578947368421
2007,8,Atlético Mineiro,55,38,15,10,13,63,51,12,144.73684210526315,1.3421052631578947,0.3157894736842105
2007,9,Botafogo,55,38,14,13,11,62,58,4,144.73684210526315,1.5263157894736843,0.10526315789473684
2007,10,Vasco,54,38,15,9,14,58,47,11,142.10526315789474,1.236842105263158,0.2894736842105263
2007,11,Internacional,54,38,15,9,14,49,44,5,142.10526315789474,1.1578947368421053,0.13157894736842105
2007,12,Athletico Paranaense,54,38,14,12,12,51,50,1,142.10526315789474,1.3157894736842106,0.02631578947368421
2007,13,Figueirense,53,38,14,11,13,57,56,1,139.4736842105263,1.4736842105263157,0.02631578947368421
2007,14,Sport,51,38,14,9,15,54,55,-1,134.21052631578948,1.4473684210526316,-0.02631578947368421
2007,15,Náutico,49,38,14,7,17,66,63,3,128.94736842105263,1.6578947368421053,0.07894736842105263
2007,16,Goiás,45,38,13,6,19,49,62,-13,118.42105263157893,1.631578947368421,-0.34210526315789475
2007,17,Corinthians,44,38,10,14,14,40,50,-10,115.78947368421053,1.3157894736842106,-0.2631578947368421
2007,18,Juventude,41,38,11,8,19,43,65,-22,107.89473684210526,1.7105263157894737,-0.5789473684210527
2007,19,Paraná,41,38,11,8,19,42,64,-22,107.89473684210526,1.6842105263157894,-0.5789473684210527
2007,20,América-RN,17,38,4,5,29,24,80,-56,44.73684210526316,2.1052631578947367,-1.4736842105263157
2008,1,São Paulo,75,38,21,12,5,66,36,30,197.36842105263156,0.9473684210526315,0.7894736842105263
2008,2,Grêmio,72,38,21,9,8,59,35,24,189.4736842105263,0.9210526315789473,0.631578947368421
2008,3,Cruzeiro,67,38,21,4,13,59,44,15,176.3157894736842,1.1578947368421053,0.39473684210526316
2008,4,Palmeiras,65,38,19,8,11,55,45,10,171.05263157894737,1.1842105263157894,0.2631578947368421
2008,5,Flamengo,64,38,18,10,10,67,48,19,168.42105263157893,1.263157894736842,0.5
2008,6,Internacional,54,38,15,9,14,48,47,1,142.10526315789474,1.236842105263158,0.02631578947368421
2008,7,Botafogo,53,38,15,8,15,51,44,7,139.4736842105263,1.1578947368421053,0.18421052631578946
2008,8,Goiás,53,38,14,11,13,57,47,10,139.4736842105263,1.236842105263158,0.2631578947368421
2008,9,Coritiba,53,38,14,11,13,55,48,7,139.4736842105263,1.263157894736842,0.18421052631578946
2008,10,Vitória,52,38,15,7,16,48,44,4,136.8421052631579,1.1578947368421053,0.10526315789473684
2008,11,Sport,52,38,14,10,14,48,45,3,136.8421052631579,1.1842105263157894,0.07894736842105263
2008,12,Atlético Mineiro,48,38,12,12,14,50,61,-11,126.3157894736842,1.605263157894737,-0.2894736842105263
2008,13,Athletico Paranaense,45,38,12,9,17,45,54,-9,118.42105263157893,1.4210526315789473,-0.23684210526315788
2008,14,Fluminense,45,38,11,12,15,49,48,1,118.42105263157893,1.263157894736842,0.02631578947368421
2008,15,Santos,45,38,11,12,15,44,53,-9,118.42105263157893,1.394736842105263,-0.23684210526315788
2008,16,Náutico,44,38,11,11,16,44,54,-10,115.78947368421053,1.4210526315789473,-0.2631578947368421
2008,17,Figueirense,44,38,11,11,16,49,73,-24,115.78947368421053,1.9210526315789473,-0.631578947368421
2008,18,Vasco,40,38,11,7,20,56,72,-16,105.26315789473684,1.894736842105263,-0.42105263157894735
2008,19,Portuguesa,38,38,9,11,18,48,70,-22,100.0,1.8421052631578947,-0.5789473684210527
2008,20,Ipatinga,35,38,9,8,21,37,67,-30,92.10526315789474,1.763157894736842,-0.7894736842105263
2009,1,Flamengo,67,38,19,10,9,58,44,14,176.3157894736842,1.1578947368421053,0.3684210526315789
2009,2,Internacional,65,38,19,8,11,65,44,21,171.05263157894737,1.1578947368421053,0.5526315789473685
2009,3,São Paulo,65,38,18,11,9,57,42,15,171.05263157894737,1.105263157894737,0.39473684210526316
2009,4,Cruzeiro,62,38,18,8,12,58,53,5,163.1578947368421,1.394736842105263,0.13157894736842105
2009,5,Palmeiras,62,38,17,11,10,58,45,13,163.1578947368421,1.1842105263157894,0.34210526315789475
2009,6,Avaí,57,38,15,12,11,61,52,9,150.0,1.368421052631579,0.23684210526315788
2009,7,Atlético Mineiro,56,38,16,8,14,55,56,-1,147.36842105263156,1.4736842105263157,-0.02631578947368421
2009,8,Grêmio,55,38,15,10,13,67,46,21,144.73684210526315,1.2105263157894737,0.5526315789473685
2009,9,Goiás,55,38,15,10,13,64,65,-1,144.73684210526315,1.7105263157894737,-0.02631578947368421
2009,10,Corinthians,52,38,14,10,14,50,54,-4,136.8421052631579,1.4210526315789473,-0.10526315789473684
2009,11,Grêmio Barueri,49,38,12,13,13,59,52,7,128.94736842105263,1.368421052631579,0.18421052631578946
2009,12,Santos,49,38,12,13,13,58,58,0,128.94736842105263,1.5263157894736843,0.0
2009,13,Vitória,48,38,13,9,16,51,57,-6,126.3157894736842,1.5,-0.15789473684210525
2009,14,Athletico Paranaense,48,38,13,9,16,42,49,-7,126.3157894736842,1.2894736842105263,-0.18421052631578946
2009,15,Botafogo,47,38,11,14,13,52,58,-6,123.6842105263158,1.5263157894736843,-0.15789473684210525
2009,16,Fluminense,46,38,11,13,14,49,56,-7,121.05263157894737,1.4736842105263157,-0.18421052631578946
2009,17,Coritiba,45,38,12,9,17,48,60,-12,118.42105263157893,1.5789473684210527,-0.3157894736842105
2009,18,Santo André,41,38,11,8,19,46,61,-15,107.89473684210526,1.605263157894737,-0.39473684210526316
2009,19,Náutico,38,38,10,8,20,48,71,-23,100.0,1.868421052631579,-0.6052631578947368
2009,20,Sport,31,38,7,10,21,48,71,-23,81.57894736842105,1.868421052631579,-0.6052631578947368
2010,1,Fluminense,71,38,20,11,7,62,36,26,186.8421052631579,0.9473684210526315,0.6842105263157895
2010,2,Cruzeiro,69,38,20,9,9,53,38,15,181.57894736842107,1.0,0.39473684210526316
2010,3,Corinthians,68,38,19,11,8,65,41,24,178.94736842105263,1.0789473684210527,0.631578947368421
2010,4,Grêmio,63,38,17,12,9,68,43,25,165.78947368421052,1.131578947368421,0.6578947368421053
2010,5,Athletico Paranaense,60,38,17,9,12,43,45,-2,157.89473684210526,1.1842105263157894,-0.05263157894736842
2010,6,Botafogo,59,38,14,17,7,54,42,12,155.26315789473685,1.105263157894737,0.3157894736842105
2010,7,Internacional,58,38,16,10,12,48,41,7,152.63157894736844,1.0789473684210527,0.18421052631578946
2010,8,Santos,56,38,15,11,12,63,50,13,147.36842105263156,1.3157894736842106,0.34210526315789475
2010,9,São Paulo,55,38,15,10,13,54,54,0,144.73684210526315,1.4210526315789473,0.0
2010,10,Palmeiras,50,38,12,14,12,42,43,-1,131.57894736842107,1.131578947368421,-0.02631578947368421
2010,11,Vasco,49,38,11,16,11,43,45,-2,128.94736842105263,1.1842105263157894,-0.05263157894736842
2010,12,Ceará,47,38,10,17,11,35,44,-9,123.6842105263158,1.1578947368421053,-0.23684210526315788
2010,13,Atlético Mineiro,45,38,13,6,19,52,64,-12,118.42105263157893,1.6842105263157894,-0.3157894736842105
2010,14,Flamengo,44,38,9,17,12,41,44,-3,115.78947368421053,1.1578947368421053,-0.07894736842105263
2010,15,Avaí,43,38,11,10,17,49,58,-9,113.1578947368421,1.5263157894736843,-0.23684210526315788
2010,16,Atlético Goianiense,42,38,11,9,18,51,57,-6,110.5263157894737,1.5,-0.15789473684210525
2010,17,Vitória,42,38,9,15,14,42,48,-6,110.5263157894737,1.263157894736842,-0.15789473684210525
2010,18,Guarani,37,38,8,13,17,33,53,-20,97.36842105263158,1.394736842105263,-0.5263157894736842
2010,19,Goiás,33,38,8,9,21,41,68,-27,86.8421052631579,1.7894736842105263,-0.7105263157894737
2010,20,Grêmio Barueri,28,38,7,10,21,39,64,-25,73.68421052631578,1.6842105263157894,-0.6578947368421053
2011,1,Corinthians,71,38,21,8,9,53,36,17,186.8421052631579,0.9473684210526315,0.4473684210526316
2011,2,Vasco,69,38,19,12,7,57,40,17,181.57894736842107,1.0526315789473684,0.4473684210526316
2011,3,Fluminense,63,38,20,3,15,60,51,9,165.78947368421052,1.3421052631578947,0.23684210526315788
2011,4,Flamengo,61,38,15,16,7,59,47,12,160.5263157894737,1.236842105263158,0.3157894736842105
2011,5,Internacional,60,38,16,12,10,57,43,14,157.89473684210526,1.131578947368421,0.3684210526315789
2011,6,São Paulo,59,38,16,11,11,57,46,11,155.26315789473685,1.2105263157894737,0.2894736842105263
2011,7,Figueirense,58,38,15,13,10,46,45,1,152.63157894736844,1.1842105263157894,0.02631578947368421
2011,8,Coritiba,57,38,16,9,13,57,41,16,150.0,1.0789473684210527,0.42105263157894735
2011,9,Botafogo,56,38,16,8,14,52,49,3,147.36842105263156,1.2894736842105263,0.07894736842105263
2011,10,Santos,53,38,15,8,15,55,55,0,139.4736842105263,1.4473684210526316,0.0
2011,11,Palmeiras,50,38,11,17,10,43,39,4,131.57894736842107,1.0263157894736843,0.10526315789473684
2011,12,Grêmio,48,38,13,9,16,49,57,-8,126.3157894736842,1.5,-0.21052631578947367
2011,13,Atlético Goianiense,48,38,12,12,14,50,45,5,126.3157894736842,1.1842105263157894,0.13157894736842105
2011,14,Bahia,46,38,11,13,14,43,49,-6,121.05263157894737,1.2894736842105263,-0.15789473684210525
2011,15,Atlético Mineiro,45,38,13,6,19,50,60,-10,118.42105263157893,1.5789473684210527,-0.2631578947368421
2011,16,Cruzeiro,43,38,11,10,17,48,51,-3,113.1578947368421,1.3421052631578947,-0.07894736842105263
2011,17,Athletico Paranaense,41,38,10,11,17,38,55,-17,107.89473684210526,1.4473684210526316,-0.4473684210526316
2011,18,Ceará,39,38,10,9,19,47,64,-17,102.63157894736842,1.6842105263157894,-0.4473684210526316
2011,19,América Mineiro,37,38,8,13,17,51,69,-18,97.36842105263158,1.8157894736842106,-0.47368421052631576
2011,20,Avaí,31,38,7,10,21,45,75,-30,81.57894736842105,1.9736842105263157,-0.7894736842105263
2012,1,Fluminense,77,38,22,11,5,61,33,28,202.6315789473684,0.868421052631579,0.7368421052631579
2012,2,Atlético Mineiro,72,38,20,12,6,64,37,27,189.4736842105263,0.9736842105263158,0.7105263157894737
